"Postcode_District","Population","Registered_Patients","Registered_Practitioners","GP_Surgeries"
"GU52",18842,14614,8,1
"GU6",15895,17133,24,1
"GU7",24585,27099,43,2
"GU8",17657,23323,55,4
"GU9",31883,30256,53,2
"HA0",56754,77379,64,10
"HA1",45038,48714,55,8
"HA2",60060,78240,124,8
"HA3",75783,82763,91,11
"HA4",53095,53859,80,10
"HA5",47084,49071,73,5
"HA6",23468,32936,42,4
"HA7",39337,28679,37,2
"HA8",71824,103353,130,11
"HA9",58681,97234,69,10
"HD1",24516,54815,76,13
"HD2",30012,32601,32,5
"HD3",31884,27116,39,4
"HD4",30027,10080,14,2
"HD5",30735,28748,33,4
"HD6",26539,29063,34,4
"HD7",22784,25338,34,3
"HD8",33667,35253,54,5
"HD9",35884,39189,63,4
"HG1",34360,60986,107,5
"HG2",32723,21378,31,2
"HG3",29388,10624,24,1
"HG4",25955,29646,58,4
"HG5",18703,27454,44,3
"HP1",26280,17831,30,1
"HP10",19366,24873,45,2
"HP11",17273,33262,43,3
"HP12",23283,20142,32,2
"HP13",45994,40118,68,4
"HP14",18001,19357,37,2
"HP15",17305,6874,11,1
"HP16",11722,7325,13,2
"HP17",10991,9006,12,1
"HP18",22535,5234,12,1
"HP19",27074,40937,59,3
"HP2",42424,48942,52,6
"HP20",16167,27315,41,2
"HP21",35099,15235,13,1
"HP22",30993,30871,54,1
"HP23",17994,40815,46,1
"HP27",13344,37123,52,2
"HP3",34801,33263,55,3
"HP4",24811,14929,15,2
"HP5",27008,29330,45,3
"HP6",15263,13768,25,1
"HP7",11067,15445,23,2
"HP9",17623,26206,44,2
"HR1",33618,76232,105,4
"HR2",38964,24860,51,4
"HR4",30828,6487,15,1
"HR5",4788,7295,14,1
"HR6",20962,27761,48,3
"HR7",7357,9556,20,1
"HR8",14141,13592,24,1
"HR9",21473,20050,34,2
"HU1",3539,4513,7,1
"HU10",19739,12832,18,2
"HU11",12157,3442,2,1
"HU13",15541,19177,18,3
"HU14",8549,1965,2,1
"HU15",25133,34425,61,2
"HU16",16098,7345,15,1
"HU17",43822,62696,81,5
"HU18",8975,12450,14,1
"HU19",6960,34906,36,1
"HU3",31150,63147,102,6
"HU4",23997,7555,10,1
"HU5",48848,91040,95,6
"HU6",36013,21228,20,3
"HU7",47875,52357,103,8
"HU8",34985,4841,28,1
"HU9",41932,58061,56,5
"HX1",25820,62500,61,5
"HX2",37097,28809,32,3
"HX3",45909,24336,30,2
"HX4",12028,11420,16,1
"HX5",10537,10604,11,1
"HX6",19174,20600,30,2
"HX7",12885,18654,21,1
"IG1",70976,87412,67,9
"IG10",33797,35178,52,3
"IG11",65311,78506,62,11
"IG2",31885,54840,51,7
"IG3",40296,48171,44,6
"IG4",10573,3834,4,1
"IG5",18328,14123,15,2
"IG6",32201,33224,34,4
"IG7",23633,19812,26,2
"IG8",38067,16867,18,2
"IG9",13255,16914,27,3
"IP1",40663,79602,82,4
"IP11",30181,33585,55,3
"IP12",25515,27575,45,3
"IP13",19626,19734,26,2
"IP14",41746,47090,74,4
"IP16",6830,9113,16,1
"IP17",12373,9523,15,1
"IP18",3840,5359,8,1
"IP19",10319,10501,15,1
"IP2",32670,9760,18,1
"IP20",8398,7949,8,1
"IP21",11423,10571,10,2
"IP22",22921,24797,37,3
"IP23",7562,6170,5,1
"IP24",28971,30764,59,3
"IP25",21474,18186,33,2
"IP26",9643,5334,7,1
"IP27",20511,18258,46,3
"IP28",29813,22248,35,2
"IP3",35738,43992,53,3
"IP30",14647,14842,22,1
"IP31",21303,14217,21,2
"IP32",18031,14538,17,1
"IP33",23892,49846,80,4
"IP4",38346,48525,59,4
"IP5",19674,13217,22,2
"IP6",17921,14189,22,1
"IP7",17026,22873,34,2
"IP9",11663,7993,15,1
"KT1",23628,9536,12,1
"KT10",21682,30460,56,4
"KT11",15893,13663,20,1
"KT12",39937,43401,62,6
"KT13",22788,25091,33,2
"KT14",13856,30340,52,3
"KT15",30173,16938,25,1
"KT16",20259,26458,40,2
"KT17",25655,54580,83,4
"KT18",17686,17158,22,2
"KT19",37848,14578,15,1
"KT2",33505,77316,116,5
"KT20",21640,21573,40,2
"KT21",14016,6240,14,1
"KT22",24918,34392,68,3
"KT23",11319,18543,33,2
"KT24",9132,10360,14,1
"KT3",40360,47849,85,5
"KT4",29921,22152,27,2
"KT5",21087,5068,9,1
"KT6",32921,49182,91,6
"KT7",10726,5360,5,1
"KT8",20964,27596,48,2
"KT9",21792,23507,44,3
"L1",11570,6500,8,1
"L11",29577,32252,46,5
"L12",30656,21436,27,3
"L13",29865,31637,67,5
"L14",27674,16893,31,4
"L15",29977,33242,42,4
"L16",14672,3066,4,1
"L17",22910,26045,31,4
"L18",26123,19388,32,4
"L19",24634,27010,58,4
"L20",34488,40612,59,7
"L21",24954,25792,40,6
"L22",13755,21353,27,3
"L23",30463,24254,42,5
"L24",17385,16922,34,4
"L25",34045,45366,77,7
"L26",15321,13479,18,3
"L27",6728,3710,8,1
"L28",6669,8771,14,1
"L3",20614,8248,21,1
"L30",19946,10273,13,2
"L31",30752,28117,38,4
"L32",21032,29485,27,4
"L33",19177,22902,25,2
"L34",13814,14329,19,2
"L35",30554,19416,27,4
"L36",42128,71258,63,11
"L37",23345,25750,38,3
"L38",2469,1969,8,1
"L39",31350,29082,29,4
"L4",40653,21499,28,6
"L40",19363,12638,17,3
"L5",14569,23997,32,4
"L6",24757,51675,71,9
"L69",NA,50456,63,1
"L7",21614,47629,65,7
"L8",35300,26300,60,4
"L9",31884,61185,82,8
"LA1",55994,81404,96,2
"LA10",3825,4496,9,1
"LA11",9945,10716,26,2
"LA12",20203,18666,27,3
"LA13",19104,14037,20,2
"LA14",36957,46185,68,7
"LA15",7655,8786,16,1
"LA17",1205,4755,5,1
"LA18",8301,8065,14,1
"LA2",22618,7318,12,1
"LA21",1017,1027,4,1
"LA22",4890,6199,21,1
"LA23",8307,11652,26,2
"LA3",25122,54096,68,1
"LA5",16243,25185,37,1
"LA6",13193,6498,15,1
"LA7",5056,6161,8,1
"LA9",31835,38327,68,3
"LE1",18755,7813,27,4
"LE10",53121,49719,60,5
"LE11",65654,76279,109,7
"LE12",69394,87698,109,11
"LE13",27626,35893,50,1
"LE14",18115,7114,14,1
"LE15",36049,41527,77,4
"LE16",38312,26782,33,1
"LE17",23635,21650,52,3
"LE18",33755,31522,55,3
"LE19",16442,21556,25,3
"LE2",123106,161972,241,21
"LE3",109981,121223,164,16
"LE4",108997,92200,109,13
"LE5",99623,144067,168,15
"LE6",12048,7958,17,2
"LE65",16942,17541,19,1
"LE67",64811,64111,93,8
"LE7",51247,39898,55,4
"LE8",40677,55492,64,4
"LE9",59982,64833,74,6
"LN1",32318,31595,41,5
"LN10",6204,9931,26,2
"LN11",29609,33833,43,3
"LN12",13394,14598,11,1
"LN13",8222,7524,13,1
"LN2",42226,54441,85,6
"LN4",40575,37742,47,6
"LN5",36425,36303,49,4
"LN6",64678,63761,55,6
"LN7",6429,5186,6,1
"LN8",17690,16655,35,3
"LN9",10180,9549,15,1
"LS1",4476,14701,27,1
"LS10",40068,32721,45,5
"LS11",39904,46149,51,4
"LS12",44185,49955,74,5
"LS13",37065,30671,33,3
"LS14",39005,29813,54,4
"LS15",35941,29825,40,4
"LS16",37651,34537,50,2
"LS17",44911,45370,60,3
"LS19",20394,30907,55,3
"LS2",11904,44802,39,1
"LS20",13231,10920,6,1
"LS21",18548,24695,37,2
"LS22",16824,25777,60,3
"LS23",9842,10050,23,2
"LS24",12392,9013,13,1
"LS25",43442,63032,86,6
"LS26",31354,43146,42,2
"LS27",38284,43777,57,5
"LS28",41653,57019,69,6
"LS29",32860,33004,65,4
"LS4",9401,12849,21,1
"LS5",8441,15186,22,2
"LS6",49788,77730,116,7
"LS7",31823,37125,61,5
"LS8",51625,49153,73,7
"LS9",43563,60594,106,7
"LU1",50512,99186,96,7
"LU2",61617,26886,25,4
"LU3",65911,72118,68,8
"LU4",57733,67902,77,9
"LU5",42083,32589,34,4
"LU6",34490,45748,49,4
"LU7",61416,74322,94,5
"M1",11795,23229,20,2
"M11",24400,48888,58,7
"M12",19434,19908,28,3
"M13",24285,50370,61,6
"M14",56704,80804,126,8
"M15",26213,33777,42,2
"M16",37780,39766,72,6
"M18",26796,16978,25,2
"M19",37405,30331,46,4
"M20",49771,63146,97,6
"M21",29029,35800,42,3
"M22",45590,50664,89,6
"M23",32753,36548,58,6
"M24",50667,57274,77,9
"M25",32876,40266,45,6
"M26",37121,23140,28,3
"M27",43108,47122,80,4
"M28",43560,63435,117,10
"M29",24135,26705,37,6
"M3",16345,13913,5,1
"M30",40464,35668,38,3
"M31",8176,9058,16,2
"M32",29500,37151,47,3
"M33",61924,64106,102,6
"M34",47766,33571,35,3
"M35",21455,22998,27,3
"M38",15089,6383,11,2
"M4",17700,21562,29,2
"M40",46245,43157,51,7
"M41",41725,44468,59,5
"M43",23934,18164,31,3
"M44",19920,23025,38,3
"M45",23294,13844,15,2
"M46",23419,20076,22,4
"M5",21198,14005,10,2
"M6",36225,65118,108,9
"M7",36005,36645,51,5
"M8",36234,53277,65,6
"M9",44328,53427,80,10
"ME1",33830,38970,63,5
"ME10",52609,61109,71,6
"ME12",42961,47175,43,6
"ME13",28942,31961,44,2
"ME14",34287,35654,41,3
"ME15",53310,49131,53,4
"ME16",34416,32788,48,3
"ME17",26916,34989,57,4
"ME18",7110,15081,27,2
"ME19",25616,21260,23,1
"ME2",42823,33617,43,5
"ME20",21776,21137,43,2
"ME3",30241,36897,46,3
"ME4",33501,44315,42,5
"ME5",52166,68930,72,6
"ME6",11844,12077,16,1
"ME7",53393,45132,59,7
"ME8",50824,46591,53,10
"ME9",23659,9684,12,2
"MK10",24473,33128,22,2
"MK11",10384,18405,40,2
"MK12",14487,16062,14,1
"MK13",19241,19513,19,1
"MK14",21324,22581,37,3
"MK15",6883,11411,14,1
"MK16",19113,27089,40,2
"MK17",20356,12149,12,1
"MK18",34665,30518,37,1
"MK2",17135,35433,30,3
"MK3",27840,32288,41,2
"MK4",24643,15170,17,1
"MK40",39401,87199,96,7
"MK41",43720,24534,39,2
"MK42",56441,55098,63,4
"MK43",42493,26338,29,3
"MK44",16537,11088,18,2
"MK45",49442,55440,72,5
"MK46",9391,8375,10,1
"MK5",15845,12270,7,1
"MK6",29608,26603,26,3
"MK7",14790,12079,13,1
"MK8",15255,21233,28,2
"N1",93853,147130,213,15
"N10",27484,31127,45,3
"N11",31397,44188,59,4
"N12",30696,23581,41,2
"N13",33667,31608,21,3
"N14",31422,17932,28,2
"N15",48426,95911,92,10
"N16",68429,105424,189,13
"N17",68813,55212,72,7
"N18",34387,27933,13,4
"N19",35005,50488,60,6
"N2",24617,21194,28,3
"N20",20114,26072,43,3
"N21",24264,42321,44,3
"N22",43559,51678,53,7
"N3",26762,46425,60,8
"N4",53182,51960,68,6
"N5",25724,19443,19,2
"N6",18255,16743,29,1
"N7",50828,57022,80,8
"N8",40057,54170,64,6
"N9",53045,153252,163,10
"NE1",13352,57764,54,2
"NE10",34211,29606,49,4
"NE11",15970,9161,24,1
"NE12",36636,35804,71,4
"NE13",20156,13344,20,2
"NE15",33906,24017,42,3
"NE16",24720,25203,41,3
"NE17",4563,9964,15,2
"NE2",32652,15686,24,2
"NE20",12581,18590,35,2
"NE21",17695,23820,42,4
"NE22",17946,18402,36,2
"NE23",39517,27683,55,4
"NE24",40360,39366,64,2
"NE25",30385,19728,36,3
"NE26",19167,31263,52,4
"NE27",16348,14105,24,2
"NE28",46557,41074,88,4
"NE29",35744,56595,102,5
"NE3",52925,55687,93,7
"NE31",22945,20645,28,3
"NE32",24425,21124,31,4
"NE33",25942,51081,62,7
"NE34",51674,46045,68,4
"NE35",6276,14498,20,2
"NE37",19826,25198,37,3
"NE38",31617,29557,49,4
"NE39",8610,6009,7,1
"NE4",42300,71906,131,7
"NE40",15634,10919,33,2
"NE42",12460,14962,31,3
"NE43",4445,5400,9,1
"NE45",3583,7007,13,1
"NE46",15053,19603,36,3
"NE47",7667,5409,13,1
"NE48",4132,3417,8,1
"NE49",4222,5589,14,1
"NE5",50069,39263,72,4
"NE6",50709,63827,117,6
"NE61",34044,72788,102,5
"NE62",9052,8051,20,1
"NE63",28239,18925,30,1
"NE65",21558,19677,40,3
"NE66",17588,18873,21,1
"NE7",14867,16032,27,2
"NE70",1779,4477,10,1
"NE71",2944,4663,15,2
"NE8",32421,60629,111,9
"NE9",36821,31688,54,4
"NG1",16562,18024,41,2
"NG10",47420,50619,73,6
"NG11",39041,37659,57,5
"NG12",35767,8191,12,1
"NG13",23224,39902,66,3
"NG14",19983,16801,33,2
"NG15",45726,37658,39,4
"NG16",64116,46353,57,6
"NG17",75325,82076,96,11
"NG18",45052,61369,75,7
"NG19",54389,47988,72,4
"NG2",60395,70600,105,8
"NG20",27911,26686,33,3
"NG21",24583,33228,37,4
"NG22",28040,21824,37,3
"NG23",18103,18272,29,3
"NG24",48282,53467,58,4
"NG25",9165,12451,15,1
"NG3",52095,53452,73,7
"NG31",47362,50522,58,5
"NG32",13160,13317,25,2
"NG33",9741,10886,27,3
"NG34",43536,42906,39,4
"NG4",40836,38709,55,4
"NG5",89787,90898,136,12
"NG6",38820,39915,60,6
"NG7",62856,120876,126,11
"NG8",67062,70415,105,10
"NG9",73708,69929,128,8
"NN1",35013,64374,71,6
"NN10",41557,42526,54,4
"NN11",41581,42319,65,3
"NN12",26494,19006,21,2
"NN13",21978,27462,28,2
"NN14",46878,38478,51,4
"NN15",41688,40371,51,3
"NN16",32247,45376,73,3
"NN17",33524,55870,77,3
"NN18",40310,28012,45,2
"NN2",42095,62427,82,6
"NN29",11812,9408,15,2
"NN3",78057,80976,94,8
"NN4",52646,35610,48,3
"NN5",45309,21839,27,1
"NN6",37473,37737,51,4
"NN7",30086,53056,78,4
"NN8",54816,67595,92,4
"NN9",29037,25608,39,4
"NR1",28988,30953,55,3
"NR11",19182,28739,45,4
"NR12",21362,26297,50,3
"NR13",28677,25276,45,3
"NR14",27394,27500,49,3
"NR15",16097,11223,19,1
"NR16",12733,8667,19,1
"NR17",17957,18689,22,1
"NR18",21251,26312,49,2
"NR19",20587,23628,43,3
"NR2",27053,39001,62,4
"NR20",20310,18474,32,2
"NR21",16472,15509,33,1
"NR23",3051,3245,12,1
"NR25",8740,14186,21,1
"NR26",8193,9576,18,1
"NR27",11647,12376,18,1
"NR28",17757,18448,35,2
"NR29",21066,25484,46,3
"NR3",34509,62071,105,6
"NR30",31259,38780,53,2
"NR31",50861,50927,58,3
"NR32",40375,39776,43,3
"NR33",39218,45933,75,5
"NR34",22257,19662,26,1
"NR35",11091,11379,25,1
"NR4",25354,42200,70,2
"NR5",32240,33582,70,3
"NR6",24698,18177,23,2
"NR7",34845,28737,33,2
"NR8",22766,26496,40,2
"NR9",19369,6820,14,1
"NW1",55725,49556,87,9
"NW10",95126,95361,118,11
"NW11",33713,45214,61,6
"NW2",70428,86228,91,12
"NW3",49336,71628,113,6
"NW4",34096,32687,41,4
"NW5",30259,62349,130,5
"NW6",66446,86467,98,7
"NW7",28645,37507,51,3
"NW8",32802,47087,56,4
"NW9",78315,81093,102,10
"OL1",25455,36329,64,10
"OL10",29666,32893,50,5
"OL11",48289,53445,69,8
"OL12",47427,45984,51,5
"OL13",16577,14760,23,1
"OL14",15881,16238,24,2
"OL15",14649,20535,36,4
"OL16",40561,38830,44,6
"OL2",41111,40533,59,4
"OL3",15376,14022,16,1
"OL4",47559,56222,67,8
"OL5",11591,16533,25,3
"OL6",30746,41473,52,5
"OL7",18127,15590,24,3
"OL8",46579,28022,64,6
"OL9",43990,51639,60,7
"OX1",27136,36896,74,5
"OX10",28489,28475,51,3
"OX11",44502,45912,60,3
"OX12",29247,32191,44,2
"OX14",45921,60656,96,5
"OX15",21698,23538,39,3
"OX16",52329,69048,84,4
"OX17",18647,4478,11,1
"OX18",27607,27409,45,3
"OX2",41413,64300,84,5
"OX20",5384,9282,15,1
"OX26",38088,53237,75,3
"OX28",28309,39064,73,3
"OX29",26942,15168,38,1
"OX3",47650,48094,72,2
"OX33",7894,11153,23,1
"OX4",66905,87411,161,8
"OX49",4204,7136,15,1
"OX5",24117,26685,38,3
"OX7",24639,27412,47,3
"OX9",16011,12869,22,1
"PE1",56750,77742,66,4
"PE10",25576,25470,48,2
"PE11",47174,50694,39,4
"PE12",41880,37136,43,4
"PE13",38051,50558,67,4
"PE14",22503,16924,16,2
"PE15",31568,36477,51,4
"PE16",11163,12179,21,1
"PE19",46797,51056,85,5
"PE2",53616,25337,35,3
"PE20",15543,19902,21,3
"PE21",47026,59267,61,4
"PE22",17143,14248,21,2
"PE23",8929,7464,12,1
"PE25",23145,37776,37,2
"PE26",12021,7055,14,1
"PE27",20656,39842,53,3
"PE28",52394,34384,60,4
"PE29",32483,37802,65,3
"PE3",33378,17259,20,3
"PE30",46719,71846,120,4
"PE31",19528,12011,30,2
"PE32",16251,15261,24,3
"PE33",15758,10008,21,2
"PE34",14906,6795,8,1
"PE37",11834,21011,38,3
"PE38",16547,20941,29,3
"PE4",30344,13809,17,1
"PE5",1540,4247,6,1
"PE6",39581,116589,99,3
"PE7",51043,48351,44,3
"PE8",18725,19698,33,2
"PE9",33295,29599,36,1
"PL1",26332,25759,49,4
"PL11",10307,11848,11,1
"PL12",21801,23766,41,3
"PL13",10064,9830,22,1
"PL14",24840,26222,33,2
"PL15",21403,19041,27,1
"PL17",10307,16727,32,1
"PL19",17014,27781,55,2
"PL2",32327,41948,57,3
"PL20",12388,7594,12,1
"PL21",19079,4813,14,1
"PL22",3865,5100,7,1
"PL23",3150,8119,13,1
"PL24",10534,6582,8,1
"PL25",27666,31835,25,1
"PL26",28257,23806,42,3
"PL27",12511,7828,15,1
"PL29",926,8848,12,1
"PL3",31096,7970,8,1
"PL31",16771,23399,33,2
"PL32",4588,6460,8,2
"PL35",985,4811,8,1
"PL4",35312,45205,96,4
"PL5",44006,84204,107,5
"PL6",42828,26820,38,3
"PL7",31340,42818,52,1
"PL8",6130,6477,12,1
"PL9",31091,25526,44,3
"PO1",31461,40627,51,3
"PO10",20280,24687,42,2
"PO11",17390,18006,29,2
"PO12",46366,54223,54,3
"PO13",35702,29887,30,3
"PO14",33652,12706,24,1
"PO15",23064,47892,59,3
"PO16",32537,35185,58,3
"PO17",6965,13437,19,1
"PO19",33528,48881,74,4
"PO2",42522,73500,77,2
"PO20",36182,41543,54,4
"PO21",43414,44586,59,4
"PO22",31977,27034,41,2
"PO3",20604,22522,32,2
"PO30",31257,33046,29,2
"PO31",14852,15352,18,1
"PO32",9147,8685,18,1
"PO33",31045,35545,56,4
"PO36",16584,27323,30,1
"PO38",12332,14825,19,2
"PO4",41272,13504,13,1
"PO40",5706,11065,18,1
"PO5",29391,51455,63,3
